Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Jan 13 2021,10:00p,Portland Trail Blazers,,Sacramento Kings,,,,,
Thu Jan 14 2021,7:30p,Miami Heat,,Philadelphia 76ers,,,,,
Thu Jan 14 2021,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,
Thu Jan 14 2021,8:30p,Houston Rockets,,San Antonio Spurs,,,,,
Thu Jan 14 2021,10:00p,Golden State Warriors,,Denver Nuggets,,,,,
Thu Jan 14 2021,10:00p,Indiana Pacers,,Portland Trail Blazers,,,,,
Fri Jan 15 2021,7:00p,Washington Wizards,,Detroit Pistons,,,,,
Fri Jan 15 2021,7:30p,Orlando Magic,,Boston Celtics,,,,,
Fri Jan 15 2021,7:30p,New York Knicks,,Cleveland Cavaliers,,,,,
Fri Jan 15 2021,7:30p,Dallas Mavericks,,Milwaukee Bucks,,,,,
Fri Jan 15 2021,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
Fri Jan 15 2021,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,
Fri Jan 15 2021,9:00p,Golden State Warriors,,Phoenix Suns,,,,,
Fri Jan 15 2021,9:00p,Atlanta Hawks,,Utah Jazz,,,,,
Fri Jan 15 2021,10:00p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
Fri Jan 15 2021,10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,
Sat Jan 16 2021,5:00p,Houston Rockets,,San Antonio Spurs,,,,,
Sat Jan 16 2021,6:00p,Orlando Magic,,Brooklyn Nets,,,,,
Sat Jan 16 2021,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,
Sat Jan 16 2021,8:00p,Philadelphia 76ers,,Memphis Grizzlies,,,,,
Sat Jan 16 2021,8:00p,Detroit Pistons,,Miami Heat,,,,,
Sat Jan 16 2021,9:00p,Indiana Pacers,,Phoenix Suns,,,,,
Sat Jan 16 2021,10:00p,Atlanta Hawks,,Portland Trail Blazers,,,,,
Sun Jan 17 2021,1:00p,New York Knicks,,Boston Celtics,,,,,
Sun Jan 17 2021,2:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
Sun Jan 17 2021,3:00p,Chicago Bulls,,Dallas Mavericks,,,,,
Sun Jan 17 2021,7:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,
Sun Jan 17 2021,8:00p,Utah Jazz,,Denver Nuggets,,,,,
Sun Jan 17 2021,9:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
Sun Jan 17 2021,10:00p,Indiana Pacers,,Los Angeles Clippers,,,,,
Mon Jan 18 2021,12:00p,Orlando Magic,,New York Knicks,,,,,
Mon Jan 18 2021,2:00p,Cleveland Cavaliers,,Washington Wizards,,,,,
Mon Jan 18 2021,2:30p,Minnesota Timberwolves,,Atlanta Hawks,,,,,
Mon Jan 18 2021,3:00p,Detroit Pistons,,Miami Heat,,,,,
Mon Jan 18 2021,3:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,
Mon Jan 18 2021,5:00p,Phoenix Suns,,Memphis Grizzlies,,,,,
Mon Jan 18 2021,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,
Mon Jan 18 2021,7:30p,Dallas Mavericks,,Toronto Raptors,,,,,
Mon Jan 18 2021,8:00p,Houston Rockets,,Chicago Bulls,,,,,
Mon Jan 18 2021,10:00p,Golden State Warriors,,Los Angeles Lakers,,,,,
Tue Jan 19 2021,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Tue Jan 19 2021,9:00p,New Orleans Pelicans,,Utah Jazz,,,,,
Wed Jan 20 2021,7:00p,Washington Wizards,,Charlotte Hornets,,,,,
Wed Jan 20 2021,7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,
Wed Jan 20 2021,7:00p,Dallas Mavericks,,Indiana Pacers,,,,,
Wed Jan 20 2021,7:00p,Boston Celtics,,Philadelphia 76ers,,,,,
Wed Jan 20 2021,7:30p,Detroit Pistons,,Atlanta Hawks,,,,,
Wed Jan 20 2021,7:30p,Miami Heat,,Toronto Raptors,,,,,
Wed Jan 20 2021,8:00p,Orlando Magic,,Minnesota Timberwolves,,,,,
Wed Jan 20 2021,9:30p,Phoenix Suns,,Houston Rockets,,,,,
Wed Jan 20 2021,10:00p,San Antonio Spurs,,Golden State Warriors,,,,,
Wed Jan 20 2021,10:00p,Sacramento Kings,,Los Angeles Clippers,,,,,
Wed Jan 20 2021,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
Thu Jan 21 2021,7:30p,Los Angeles Lakers,,Milwaukee Bucks,,,,,
Thu Jan 21 2021,10:00p,New York Knicks,,Golden State Warriors,,,,,
Thu Jan 21 2021,10:00p,New Orleans Pelicans,,Utah Jazz,,,,,
Fri Jan 22 2021,7:00p,Chicago Bulls,,Charlotte Hornets,,,,,
Fri Jan 22 2021,7:00p,Houston Rockets,,Detroit Pistons,,,,,
Fri Jan 22 2021,7:00p,Orlando Magic,,Indiana Pacers,,,,,
Fri Jan 22 2021,7:30p,Brooklyn Nets,,Cleveland Cavaliers,,,,,
Fri Jan 22 2021,7:30p,Boston Celtics,,Philadelphia 76ers,,,,,
Fri Jan 22 2021,7:30p,Miami Heat,,Toronto Raptors,,,,,
Fri Jan 22 2021,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,
Fri Jan 22 2021,8:00p,Atlanta Hawks,,Minnesota Timberwolves,,,,,
Fri Jan 22 2021,8:30p,Dallas Mavericks,,San Antonio Spurs,,,,,
Fri Jan 22 2021,10:00p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,
Fri Jan 22 2021,10:00p,Denver Nuggets,,Phoenix Suns,,,,,
Fri Jan 22 2021,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
Fri Jan 22 2021,10:00p,New York Knicks,,Sacramento Kings,,,,,
Sat Jan 23 2021,5:00p,Golden State Warriors,,Utah Jazz,,,,,
Sat Jan 23 2021,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,
Sat Jan 23 2021,7:30p,Miami Heat,,Brooklyn Nets,,,,,
Sat Jan 23 2021,8:00p,Los Angeles Lakers,,Chicago Bulls,,,,,
Sat Jan 23 2021,8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,
Sat Jan 23 2021,8:30p,Houston Rockets,,Dallas Mavericks,,,,,
Sat Jan 23 2021,9:00p,Denver Nuggets,,Phoenix Suns,,,,,
Sun Jan 24 2021,3:30p,Toronto Raptors,,Indiana Pacers,,,,,
Sun Jan 24 2021,4:00p,Cleveland Cavaliers,,Boston Celtics,,,,,
Sun Jan 24 2021,4:00p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,
Sun Jan 24 2021,6:00p,Charlotte Hornets,,Orlando Magic,,,,,
Sun Jan 24 2021,7:00p,Washington Wizards,,San Antonio Spurs,,,,,
Sun Jan 24 2021,7:30p,Atlanta Hawks,,Milwaukee Bucks,,,,,
Sun Jan 24 2021,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Sun Jan 24 2021,9:00p,New York Knicks,,Portland Trail Blazers,,,,,
Mon Jan 25 2021,7:00p,Philadelphia 76ers,,Detroit Pistons,,,,,
Mon Jan 25 2021,7:00p,Toronto Raptors,,Indiana Pacers,,,,,
Mon Jan 25 2021,7:00p,Charlotte Hornets,,Orlando Magic,,,,,
Mon Jan 25 2021,7:30p,Miami Heat,,Brooklyn Nets,,,,,
Mon Jan 25 2021,7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,
Mon Jan 25 2021,8:00p,Boston Celtics,,Chicago Bulls,,,,,
Mon Jan 25 2021,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
Mon Jan 25 2021,8:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
Mon Jan 25 2021,8:30p,Denver Nuggets,,Dallas Mavericks,,,,,
Mon Jan 25 2021,10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,
Mon Jan 25 2021,10:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,
Tue Jan 26 2021,7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,
Tue Jan 26 2021,8:00p,Washington Wizards,,Houston Rockets,,,,,
Tue Jan 26 2021,9:00p,New York Knicks,,Utah Jazz,,,,,
Wed Jan 27 2021,7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
Wed Jan 27 2021,7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,
Wed Jan 27 2021,7:00p,Sacramento Kings,,Orlando Magic,,,,,
Wed Jan 27 2021,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,
Wed Jan 27 2021,7:30p,Denver Nuggets,,Miami Heat,,,,,
Wed Jan 27 2021,7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,
Wed Jan 27 2021,7:30p,Milwaukee Bucks,,Toronto Raptors,,,,,
Wed Jan 27 2021,8:00p,Chicago Bulls,,Memphis Grizzlies,,,,,
Wed Jan 27 2021,8:00p,Washington Wizards,,New Orleans Pelicans,,,,,
Wed Jan 27 2021,8:30p,Boston Celtics,,San Antonio Spurs,,,,,
Wed Jan 27 2021,9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,
Wed Jan 27 2021,9:00p,Dallas Mavericks,,Utah Jazz,,,,,
Wed Jan 27 2021,10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,
Thu Jan 28 2021,7:00p,Los Angeles Lakers,,Detroit Pistons,,,,,
Thu Jan 28 2021,7:00p,Los Angeles Clippers,,Miami Heat,,,,,
Thu Jan 28 2021,9:00p,Golden State Warriors,,Phoenix Suns,,,,,
Thu Jan 28 2021,9:30p,Portland Trail Blazers,,Houston Rockets,,,,,
Fri Jan 29 2021,7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
Fri Jan 29 2021,7:00p,Los Angeles Clippers,,Orlando Magic,,,,,
Fri Jan 29 2021,7:00p,Atlanta Hawks,,Washington Wizards,,,,,
Fri Jan 29 2021,7:30p,Milwaukee Bucks,,New Orleans Pelicans,,,,,
Fri Jan 29 2021,7:30p,Cleveland Cavaliers,,New York Knicks,,,,,
Fri Jan 29 2021,7:30p,Sacramento Kings,,Toronto Raptors,,,,,
Fri Jan 29 2021,8:00p,Philadelphia 76ers,,Minnesota Timberwolves,,,,,
Fri Jan 29 2021,8:00p,Brooklyn Nets,,Oklahoma City Thunder,,,,,
Fri Jan 29 2021,8:30p,Denver Nuggets,,San Antonio Spurs,,,,,
Fri Jan 29 2021,10:00p,Dallas Mavericks,,Utah Jazz,,,,,
Sat Jan 30 2021,5:00p,Portland Trail Blazers,,Chicago Bulls,,,,,
Sat Jan 30 2021,7:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,
Sat Jan 30 2021,7:00p,Houston Rockets,,New Orleans Pelicans,,,,,
Sat Jan 30 2021,8:00p,Sacramento Kings,,Miami Heat,,,,,
Sat Jan 30 2021,8:30p,Los Angeles Lakers,,Boston Celtics,,,,,
Sat Jan 30 2021,8:30p,Phoenix Suns,,Dallas Mavericks,,,,,
